2025-01-10|10:00:00|winter collection restock|Zara Wholesale|-2500.00
2025-02-14|11:30:00|valentines sale|Walk-in Customer|320.00
2025-03-05|09:45:00|spring dresses restock|Fashion Nova Wholesale|-1800.00
2025-03-20|14:00:00|dress sale|Walk-in Customer|180.00
2025-04-01|10:15:00|accessories restock|H&M Wholesale|-600.00
2025-12-26|13:00:00|holiday sale earnings|Walk-in Customer|4200.00
2026-01-03|09:00:00|new year restock|Zara Wholesale|-3100.00
2026-01-18|15:30:00|handbag sale|Online Customer|250.00
2026-02-05|11:00:00|shoes restock|Steve Madden Wholesale|-900.00
2026-02-20|14:45:00|shoe sale|Walk-in Customer|175.00
2026-03-01|10:00:00|spring restock|Fashion Nova Wholesale|-2200.00
2026-03-15|13:15:00|jacket sale|Online Customer|320.00
2026-03-28|11:30:00|sunglasses restock|accessories vendor|-400.00
2026-04-02|09:30:00|earrings sale|Walk-in Customer|85.00
2026-04-08|14:00:00|summer collection restock|Zara Wholesale|-2800.00
2026-04-15|10:45:00|dress sale|Online Customer|210.00
2026-04-20|13:00:00|handbag sale|Walk-in Customer|310.00
2026-04-25|11:15:00|blouse sale|Online Customer|95.00
2026-04-28|15:00:00|sandals restock|Steve Madden Wholesale|-750.00
2026-04-29|09:30:00|skirt sale|Walk-in Customer|120.00
